label id group
1 Adenosine 1 Metabolome
2 D-Fructose 2 Metabolome
3 DHODH 3 Transcriptome
4 ADAMTS4 4 Transcriptome
5 CDC25B 5 Transcriptome
6 FLT1 6 Transcriptome
7 BAMBI 7 Transcriptome
8 TNNC1 8 Transcriptome
9 SLC51A 9 Transcriptome
10 SLC25A5 10 Transcriptome
11 ILVBL 11 Transcriptome
12 ENSSSCG00000013902 12 Transcriptome
13 CCDC90B 13 Transcriptome
14 GLB1L 14 Transcriptome
15 ENSSSCG00000016255 15 Transcriptome
16 ENSSSCG00000016548 16 Transcriptome
17 HOXB2 17 Transcriptome
18 MED28 18 Transcriptome
19 UBE2Z 19 Transcriptome
20 RNF139 20 Transcriptome
21 ZNF454 21 Transcriptome
22 NES 22 Transcriptome
23 DUOX1 23 Transcriptome
24 FHL1 24 Transcriptome
25 BMPR1B 25 Transcriptome
26 MTPN 26 Transcriptome
27 MAP7 27 Transcriptome
28 C3orf38 28 Transcriptome
29 ENSSSCG00000038447 29 Transcriptome
30 AK2 30 Transcriptome
31 PDE5A 31 Transcriptome
32 IFT122 32 Transcriptome
33 ITM2C 33 Transcriptome
34 IL17RB 34 Transcriptome
35 CASP8AP2 35 Transcriptome
36 PTPRE 36 Transcriptome
37 CLDN15 37 Transcriptome
38 HSPA12A 38 Transcriptome
39 ZRSR2 39 Transcriptome
40 ERBIN 40 Transcriptome
41 CALHM2 41 Transcriptome
42 TTC39A 42 Transcriptome
43 CDH5 43 Transcriptome
44 LRRC17 44 Transcriptome
45 HCLS1 45 Transcriptome
46 SCTR 46 Transcriptome
47 AOPEP 47 Transcriptome
48 GPR160 48 Transcriptome
49 ECE1 49 Transcriptome
50 BORCS8 50 Transcriptome
51 NRIP1 51 Transcriptome
52 Glycerophosphocholine 52 Metabolome
53 L-Aspartate 53 Metabolome
54 L-Glutamine 54 Metabolome
55 L-Glutathione-oxidized 55 Metabolome
56 L-Glutathione-reduced 56 Metabolome
57 L-Glycine 57 Metabolome
58 L-Proline 58 Metabolome
59 L-Serine 59 Metabolome
60 Methanol 60 Metabolome
61 Myo-Inositol 61 Metabolome
62 NAD 62 Metabolome
63 Phosphocholine 63 Metabolome
64 Succinate 64 Metabolome
65 Taurine 65 Metabolome
66 VanillicAcid 66 Metabolome
